คำศัพท์,หมวดหมู่
7-Eleven,อาหาร
เซเว่น,อาหาร
ข้าวมันไก่,อาหาร
ก๋วยเตี๋ยว,อาหาร
ข้าวราดแกง,อาหาร
อาหารตามสั่ง,อาหาร
ชานมไข่มุก,อาหาร
กาแฟ,อาหาร
Starbucks,อาหาร
Amazon,อาหาร
MK Suki,อาหาร
KFC,อาหาร
McDonald's,อาหาร
Pizza,อาหาร
GrabFood,อาหาร
Lineman,อาหาร
หมูกระทะ,อาหาร
บุฟเฟต์,อาหาร
น้ำเปล่า,อาหาร
ขนมปัง,อาหาร
ข้าว,อาหาร
ค่าวิน,เดินทาง
วินมอไซค์,เดินทาง
BTS,เดินทาง
MRT,เดินทาง
ค่ารถเมล์,เดินทาง
แท็กซี่,เดินทาง
Grab,เดินทาง
Bolt,เดินทาง
เติมน้ำมัน,เดินทาง
ค่าทางด่วน,เดินทาง
ค่าจอดรถ,เดินทาง
ล้างรถ,เดินทาง
Netflix,บันเทิง
Spotify,บันเทิง
YouTube Premium,บันเทิง
ตั๋วหนัง,บันเทิง
เติมเกม,บันเทิง
ค่าหอพัก,ที่อยู่อาศัย
ค่าเช่าห้อง,ที่อยู่อาศัย
ค่าไฟ,สาธารณูปโภค
ค่าน้ำ,สาธารณูปโภค
ค่าเน็ต,สาธารณูปโภค
ค่าโทรศัพท์,สาธารณูปโภค
Shopee,ช้อปปิ้ง
Lazada,ช้อปปิ้ง
TikTok Shop,ช้อปปิ้ง
เสื้อผ้า,ช้อปปิ้ง
เครื่องสำอาง,ช้อปปิ้ง
ของใช้ส่วนตัว,ของใช้
สบู่ยาสระผม,ของใช้
ตัดผม,สุขภาพ
ค่ายา,สุขภาพ
หาหมอ,สุขภาพ
ทำฟัน,สุขภาพ
เงินเดือน,เงินเดือน
โบนัส,เงินเดือน
ดอกเบี้ย,รายได้อื่นๆ
ขายของ,รายได้อื่นๆ
ทิป,รายได้อื่นๆ
ทำบุญ,บริจาค
ใส่ซองงานแต่ง,สังคม
